"","raw_data","BG_inf","PT_Mom","PT_Pgt","PT_bear","NumOfTeen","data","25-29","30-34","35-39","40-44","45-49"
"1","","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA
"2","Age","Age",NA,NA,NA,NA,"Age",NA,NA,NA,NA,NA
"3","  15                        0.3             0.2             0.5             624","  15","0.3","0.2","0.5","624","15 0.3 0.2 0.5 624",15,0.3,0.2,0.5,624
"4","  16                        0.8             0.8             1.6             613","  16","0.8","0.8","1.6","613","16 0.8 0.8 1.6 613",16,0.8,0.8,1.6,613
"5","  17                        3.6             1.4             5.0             589","  17","3.6","1.4","5.0","589","17 3.6 1.4 5.0 589",17,3.6,1.4,5,589
"6","  18                        7.8             2.6            10.5             602","  18","7.8","2.6","10.5","602","18 7.8 2.6 10.5 602",18,7.8,2.6,10.5,602
"7","  19                       17.0             4.2            21.3             497","  19","17.0","4.2","21.3","497","19 17.0 4.2 21.3 497",19,17,4.2,21.3,497
"8","","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA
"9","Residence","Residence",NA,NA,NA,NA,"Residence",NA,NA,NA,NA,NA
"10","  Urban                     3.4             1.3              4.7          1,701","  Urban","3.4","1.3","4.7","1701","Urban 3.4 1.3 4.7 1,701",NA,3.4,1.3,4.7,1701
"11","  Rural                     8.3             2.4             10.8          1,223","  Rural","8.3","2.4","10.8","1223","Rural 8.3 2.4 10.8 1,223",NA,8.3,2.4,10.8,1223
"12","","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA
"13","Region","Region",NA,NA,NA,NA,"Region",NA,NA,NA,NA,NA
"14"," Metro Manila               2.8             0.9             3.7             605"," Metro Manila","2.8","0.9","3.7","605","Metro Manila 2.8 0.9 3.7 605",NA,2.8,0.9,3.7,605
"15"," Cordillera Admin.          2.3             2.3             4.6              46"," Cordillera Admin.","2.3","2.3","4.6","46","Cordillera Admin. 2.3 2.3 4.6 46",NA,2.3,2.3,4.6,46
"16"," Ilocos                     3.3             1.3             4.6             147"," Ilocos","3.3","1.3","4.6","147","Ilocos 3.3 1.3 4.6 147",NA,3.3,1.3,4.6,147
"17"," Cagayan Valley             5.0             5.6            i0.6             106"," Cagayan Valley","5.0","5.6","10.6","106","Cagayan Valley 5.0 5.6 i0.6 106",NA,5,5.6,10.6,106
"18"," C. Luzon                   5.1             1.0             6.2             289"," C. Luzon","5.1","1.0","6.2","289","C. Luzon 5.1 1.0 6.2 289",NA,5.1,1,6.2,289
"19"," g. Tagalog                 7.2             2.7             9.9             360"," g. Tagalog","7.2","2.7","9.9","360","g. Tagalog 7.2 2.7 9.9 360",NA,7.2,2.7,9.9,360
"20"," Bieol                      8.4             1.4             9.8             135"," Bieol","8.4","1.4","9.8","135","Bieol 8.4 1.4 9.8 135",NA,8.4,1.4,9.8,135
"21"," W. Visayas                 4.6             1.0             5.6             233"," W. Visayas","4.6","1.0","5.6","233","W. Visayas 4.6 1.0 5.6 233",NA,4.6,1,5.6,233
"22"," C. Visayas                 4.3             1.0             5.3             228"," C. Visayas","4.3","1.0","5.3","228","C. Visayas 4.3 1.0 5.3 228",NA,4.3,1,5.3,228
"23"," E. Visayas                 8.5             3.5            12.0             102"," E. Visayas","8.5","3.5","12.0","102","E. Visayas 8.5 3.5 12.0 102",NA,8.5,3.5,12,102
"24"," W. Mindanao                8.3             4.4            12.6             112"," W. Mindanao","8.3","4.4","12.6","112","W. Mindanao 8.3 4.4 12.6 112",NA,8.3,4.4,12.6,112
"25"," N. Mindanao                7.0             1.2             8.2             106"," N. Mindanao","7.0","1.2","8.2","106","N. Mindanao 7.0 1.2 8.2 106",NA,7,1.2,8.2,106
"26"," S. Mindanao                6.4             2.3             8.7             206"," S. Mindanao","6.4","2.3","8.7","206","S. Mindanao 6.4 2.3 8.7 206",NA,6.4,2.3,8.7,206
"27"," C. Mindanan                5.7             1.3             7.0              98"," C. Mindanan","5.7","1.3","7.0","98","C. Mindanan 5.7 1.3 7.0 98",NA,5.7,1.3,7,98
"28"," ARMM                      11.4             1.7            13.1              83"," ARMM","11.4","1.7","13.1","83","ARMM 11.4 1.7 13.1 83",NA,11.4,1.7,13.1,83
"29"," Caraga                     7.8             1.3             9.2              68"," Caraga","7.8","1.3","9.2","68","Caraga 7.8 1.3 9.2 68",NA,7.8,1.3,9.2,68
"30","","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA
"31","Education","Education",NA,NA,NA,NA,"Education",NA,NA,NA,NA,NA
"32"," No education              i 7.3            0.0            17.3              15"," No education","17.3","0.0","17.3","15","No education i 7.3 0.0 17.3 15",NA,17.3,0,17.3,15
"33"," Elementary                11.5             4.4            15.9             471"," Elementary","11.5","4.4","15.9","471","Elementary 11.5 4.4 15.9 471",NA,11.5,4.4,15.9,471
"34"," High school                4.5             1.2             5.7           1,962"," High school","4.5","1.2","5.7","1962","High school 4.5 1.2 5.7 1,962",NA,4.5,1.2,5.7,1962
"35"," College or higher           3.0            1.5             4.5             476"," College or higher","3.0","1.5","4.5","476","College or higher 3.0 1.5 4.5 476",NA,3,1.5,4.5,476
"36","","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA
"37","Total                       5.5             1.8             7.2           2,924","Total","5.5","1.8","7.2","2924","Total 5.5 1.8 7.2 2,924",NA,5.5,1.8,7.2,2924
